method,dataset,noise_type,mean,std,count
DegreeAwareRandom,CiteSeer,feature_similar_cross_class,0.54665,0.01947001743572329,20
DegreeAwareRandom,Cora,feature_similar_cross_class,0.6425500000000001,0.014687893331799347,20
DegreeAwareRandom,PubMed,feature_similar_cross_class,0.634,0.014814644248530788,20
Feature-only,CiteSeer,feature_similar_cross_class,0.5597000000000001,0.017938784797192905,20
Feature-only,Cora,feature_similar_cross_class,0.6026,0.015902333493117173,20
Feature-only,PubMed,feature_similar_cross_class,0.67245,0.0158296025152078,20
GCN-Jaccard,CiteSeer,feature_similar_cross_class,0.55365,0.01607965370142945,20
GCN-Jaccard,Cora,feature_similar_cross_class,0.59815,0.01836264801452295,20
GCN-Jaccard,PubMed,feature_similar_cross_class,0.6725000000000001,0.014964871146156022,20
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,CiteSeer,feature_similar_cross_class,0.5289,0.016485719498051082,20
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,Cora,feature_similar_cross_class,0.5946,0.01429906143405005,20
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,PubMed,feature_similar_cross_class,0.63615,0.01781860352493841,20
MCGC-cw3.0-lp0.1-ln0.5,CiteSeer,feature_similar_cross_class,0.5571,0.01290409971573698,20
MCGC-cw3.0-lp0.1-ln0.5,Cora,feature_similar_cross_class,0.61835,0.02027774252980997,20
MCGC-cw3.0-lp0.1-ln0.5,PubMed,feature_similar_cross_class,0.6378,0.015087813137203082,20
Random-Matched,CiteSeer,feature_similar_cross_class,0.5436500000000001,0.012171039829296246,20
Random-Matched,Cora,feature_similar_cross_class,0.64605,0.014630447703334297,20
Random-Matched,PubMed,feature_similar_cross_class,0.6403000000000001,0.017592163327070285,20
