method,method_type,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n,bad_edge_f1_mean,runtime_mean,acc_feature_similar_cross_class,acc_low_feature_similarity
Selective-MCGC-hard-q0.5-lp0.1-ln0.5,selective_mcgc,0.64475,0.07906053491988392,0.553,0.774,12,0.5659246361566884,2.6956422328948975,0.584,0.7054999999999999
Selective-MCGC-zero-gate,selective_mcgc,0.64425,0.07950200111832521,0.553,0.775,12,0.5659246361566884,3.2705206076304116,0.5828333333333333,0.7056666666666667
Selective-MCGC-hard-q0.75-lp0.25-ln0.25,selective_mcgc,0.6440833333333332,0.07941657524876294,0.553,0.776,12,0.5659246361566884,2.7344386180241904,0.5826666666666666,0.7055000000000001
Selective-MCGC-soft-q0.9-lp0.25-ln0.25,selective_mcgc,0.6439166666666667,0.08158816573424599,0.553,0.775,12,0.5659810377359326,2.8523117502530417,0.5803333333333333,0.7075
Selective-MCGC-soft-q0.75-lp0.25-ln0.25,selective_mcgc,0.6435000000000001,0.08259705035455399,0.548,0.776,12,0.5645079338516612,2.944234609603882,0.5796666666666667,0.7073333333333335
Selective-MCGC-hard-q0.75-frozen,selective_mcgc,0.6430833333333333,0.08053735252362815,0.553,0.775,12,0.5659246361566884,3.3654047648111978,0.5803333333333333,0.7058333333333334
Selective-MCGC-soft-q0.9-lp0.1-ln0.5,selective_mcgc,0.643,0.08061130080938912,0.552,0.775,12,0.5651847528025918,2.904212693373362,0.5798333333333333,0.7061666666666667
Selective-MCGC-hard-q0.5-lp0.25-ln0.25,selective_mcgc,0.6429166666666667,0.07961778962168209,0.553,0.774,12,0.5658118329981999,2.7191173434257507,0.5808333333333332,0.7050000000000001
Selective-MCGC-hard-q0.9-lp0.25-ln0.25,selective_mcgc,0.6424166666666666,0.07964062272407713,0.553,0.774,12,0.5659246361566884,2.702818989753723,0.5801666666666666,0.7046666666666667
Selective-MCGC-hard-q0.75-shuffled,selective_mcgc,0.6424166666666666,0.08058587552005213,0.553,0.774,12,0.5659246361566884,2.8521159887313843,0.5793333333333334,0.7055000000000001
Selective-MCGC-soft-q0.5-lp0.25-ln0.25,selective_mcgc,0.6420833333333332,0.08313237891605428,0.54,0.782,12,0.5608331983060048,2.8157442808151245,0.5773333333333334,0.7068333333333333
Selective-MCGC-hard-q0.75-lp0.1-ln0.5,selective_mcgc,0.642,0.08011355577043014,0.553,0.775,12,0.5659246361566884,2.6965032815933228,0.5791666666666666,0.7048333333333333
Selective-MCGC-hard-q0.9-lp0.1-ln0.5,selective_mcgc,0.6419166666666666,0.08025352819582944,0.553,0.774,12,0.5659246361566884,2.5162543654441833,0.5789999999999998,0.7048333333333333
Selective-MCGC-soft-q0.75-lp0.1-ln0.5,selective_mcgc,0.6416666666666666,0.08002651075888803,0.546,0.778,12,0.5594799367098134,2.9634064435958862,0.5805,0.7028333333333334
Selective-MCGC-soft-q0.5-lp0.1-ln0.5,selective_mcgc,0.64125,0.0846265861943461,0.544,0.782,12,0.5390110554178719,2.673096557458242,0.5788333333333334,0.7036666666666668
Feature-only,feature_only,0.6274166666666666,0.05780603669849607,0.553,0.714,12,0.44539306676725093,0.9569869240125021,0.581,0.6738333333333334
MCGC-cw3.0-lp0.1-ln0.5,mcgc,0.6231666666666668,0.06600665714819064,0.55,0.734,12,0.30240426119686453,2.3392199079195657,0.5943333333333333,0.652
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,0.6193333333333333,0.07667562530003595,0.531,0.751,12,0.31032693436609315,1.614055871963501,0.5638333333333333,0.6748333333333334
Random-Matched,random_matched,0.6110833333333333,0.06291474510411013,0.543,0.707,12,0.21468499673720845,1.141099492708842,0.5990000000000001,0.6231666666666668
