Dataset,Method,Test Acc,Bad-edge F1,Uses Teacher,Oracle Labels,Acc_mean,F1_mean
Actor,EdgeBench,0.2993 ± 0.0264,0.2914,Yes,No,0.2993070175438596,0.2914465515775151
Actor,EdgeInfluence-Pseudo,0.3030 ± 0.0234,0.1721,Yes,No,0.3030438596491227,0.1721166765881452
Actor,EdgeInfluence-Oracle,0.3267 ± 0.0214,0.1714,Yes,Yes,0.3266578947368421,0.171422740028914
CiteSeer,EdgeBench,0.6633 ± 0.0406,0.7147,Yes,No,0.6632800000000001,0.7147252747252747
CiteSeer,EdgeInfluence-Pseudo,0.6173 ± 0.0684,0.4322,Yes,No,0.6172933333333335,0.43216783216783217
CiteSeer,EdgeInfluence-Oracle,0.6351 ± 0.0725,0.4476,Yes,Yes,0.63508,0.44755244755244744
Cora,EdgeBench,0.7515 ± 0.0347,0.6431,Yes,No,0.7514799999999999,0.6431365790607498
Cora,EdgeInfluence-Pseudo,0.7147 ± 0.0736,0.4160,Yes,No,0.7146933333333334,0.4160275743214132
Cora,EdgeInfluence-Oracle,0.7469 ± 0.0818,0.4463,Yes,Yes,0.74692,0.44629039207238275
PubMed,EdgeBench,0.7499 ± 0.0224,0.6380,Yes,No,0.74988,0.6380009979580599
PubMed,EdgeInfluence-Pseudo,0.7085 ± 0.0784,0.4222,Yes,No,0.70848,0.42221424542331165
PubMed,EdgeInfluence-Oracle,0.7409 ± 0.0898,0.4073,Yes,Yes,0.7409466666666665,0.40728988257012466
Texas,EdgeBench,0.6717 ± 0.1315,0.6671,Yes,No,0.6717117117117117,0.6670866141732283
Texas,EdgeInfluence-Pseudo,0.6667 ± 0.1430,0.3206,Yes,No,0.6666666666666666,0.32062992125984247
Texas,EdgeInfluence-Oracle,0.7059 ± 0.1278,0.3798,Yes,Yes,0.7059459459459461,0.37984251968503924
Wisconsin,EdgeBench,0.5799 ± 0.0641,0.6400,Yes,No,0.5798692810457514,0.6399999999999998
Wisconsin,EdgeInfluence-Pseudo,0.5851 ± 0.0817,0.3394,Yes,No,0.5850980392156861,0.3394059405940593
Wisconsin,EdgeInfluence-Oracle,0.6125 ± 0.0754,0.3762,Yes,Yes,0.612549019607843,0.37623762376237624
